adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,sole of foot,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
SEMA3F,DPM1,DPM1,CD99,TSPAN6,TSPAN6,COL9A2,NIPAL3,NIPAL3,NIPAL3,TSPAN6,SLC5A5,DPM1,SLC6A4,DPM1,ITGAL,TSPAN6,TSPAN6,NIPAL3,TSPAN6,COL9A2,TSPAN6,DPM1,KRT33A,DPM1,NIPAL3,CALCR,DPM1,BTN1A1,LAP3,NFYA,RBM5,TSPAN6,LAS1L,LAS1L,DPM1,NIPAL3,PTPRN,TSPAN6,NIPAL3,DPM1,PAX6,NIPAL3,TSPAN6,DPM1,ELOVL5,TSPAN6,NIPAL3,DPM1,DPM1,M6PR,LAS1L,KRT9,CD99,DPM1,DPM1,SLC6A3,DPM1,SH2D2A,NIPAL3,TSPAN6,TSPAN6,TSPAN6
TMEM176A,NIPAL3,NIPAL3,M6PR,LAS1L,NIPAL3,COL9A3,ENPP4,LAS1L,LAS1L,NIPAL3,LEPR,NIPAL3,DBH,NIPAL3,MGST1,NIPAL3,NIPAL3,LAS1L,LAS1L,COL9A3,GCLC,NIPAL3,TYR,LAS1L,ENPP4,PTPRN,NIPAL3,CSN1S1,TMEM176A,LAS1L,CD38,LAS1L,M6PR,CD99,NIPAL3,ENPP4,POU1F1,DPM1,CD99,NIPAL3,TFAP2B,LAS1L,LAS1L,LAS1L,CASP14,DPM1,LAS1L,NIPAL3,LAS1L,NDUFAF7,M6PR,,M6PR,LAS1L,NIPAL3,,CFH,RAD51,LAS1L,NIPAL3,SCYL3,LAS1L
M6PR,LAS1L,LAS1L,CFLAR,SEMA3F,LAS1L,MGP,BAD,SEMA3F,ENPP4,LAS1L,,LAS1L,TPH2,LAS1L,LRRC23,LAS1L,LAS1L,MAD1L1,CD99,CRYBB1,NIPAL3,LAS1L,KRT31,ENPP4,HS3ST1,AVP,LAS1L,CSN2,M6PR,ENPP4,RBM6,ENPP4,TFPI,NDUFAF7,LAS1L,TMEM176A,CHGB,SCYL3,M6PR,LAS1L,SPATA7,ENPP4,ENPP4,M6PR,ELOVL3,NIPAL3,CD99,LAS1L,KLHL13,RBM5,RBM5,,RBM5,ENPP4,LAS1L,,NFYA,MND1,M6PR,LAS1L,GCLC,RBM5
RBM5,ENPP4,LASP1,RBM5,M6PR,ENPP4,MMP13,HS3ST1,CD99,ANKIB1,CD99,,CD99,,ENPP4,MRC2,CD99,CD99,M6PR,DBNDD1,PRX,LAS1L,ENPP4,HOXC13,M6PR,HECW1,OXT,ENPP4,PLIN2,SLC25A13,LAP3,CDC27,BAD,RBM5,RBM5,SEMA3F,M6PR,MYO3A,LAS1L,RBM5,CD99,GUCA1A,M6PR,M6PR,ICA1,AWAT2,LAS1L,MAD1L1,ENPP4,ICA1,KDM1A,KDM1A,,KDM1A,ANKIB1,ENPP4,,NIPAL3,SIT1,RBM5,SNX11,LAS1L,FKBP4
HSPB6,M6PR,TMEM176A,KDM1A,DBNDD1,BAD,ACAN,M6PR,HS3ST1,HS3ST1,M6PR,,AOC1,,MAD1L1,DCN,MAD1L1,M6PR,RBM5,CFLAR,CRYBA1,MAD1L1,ANKIB1,KRT34,ICA1,MAD1L1,DDX25,CFTR,LALBA,DVL2,MAD1L1,DVL2,CFLAR,PLXND1,KDM1A,CFTR,CFLAR,PCSK1N,ENPP4,AK2,TMEM176A,CROCC,RBM5,NDUFAF7,RBM5,ACSL1,LASP1,LASP1,MAD1L1,NDUFAF7,CDC27,HSPB6,,PDK4,LAP3,ANKIB1,,LAS1L,SLA,PLXND1,M6PR,ANKIB1,RBM6
DVL2,CFLAR,M6PR,RBM6,CFLAR,M6PR,PAPSS2,CFLAR,HECW1,HECW1,DBNDD1,,LASP1,,LASP1,FHL1,M6PR,NDUFAF7,FKBP4,RBM5,CRYAB,SNX11,MAD1L1,KRT33B,KDM1A,M6PR,VGF,BAD,CSN3,CROT,LASP1,RPAP3,TFPI,FKBP4,RBM6,CD99,NDUFAF7,GPR50,ANKIB1,CD38,CFLAR,GNB5,FKBP4,RBM5,KDM1A,DCD,M6PR,RBM5,LASP1,RBM5,DVL2,DVL2,,SPPL2B,MAD1L1,MAD1L1,,ENPP4,CD1A,FKBP4,CFLAR,MAD1L1,DVL2
RPAP3,RBM5,CFLAR,PDK4,RBM5,CFLAR,,RBM5,MAD1L1,DBNDD1,CFLAR,,TMEM176A,,TMEM176A,CLXN,NDUFAF7,RBM5,RBM6,FKBP4,CRYGD,CFLAR,SNX11,DSC1,CAMKK1,DBNDD1,CALY,LAP3,,ABCB4,M6PR,ITGAL,RBM5,RBM6,PDK4,M6PR,RBM5,LHB,BAD,FKBP4,TFPI,PALS1,KDM1A,AK2,RBM6,GSDMA,DBNDD1,FKBP4,SNX11,FKBP4,LIG3,LIG3,,ITGAL,M6PR,LASP1,,ANKIB1,KIF15,RBM6,RBM5,M6PR,CREBBP
PRKAR2B,AK2,TFPI,CDC27,PLXND1,TFPI,,PDK4,ALS2,CFLAR,RBM5,,DBNDD1,,M6PR,VCAN,RBM5,FKBP4,PDK4,RBM6,GJA3,RBM5,TMEM176A,KRT85,HSPB6,CFLAR,HDC,AOC1,,AP2B1,CFLAR,PDK2,PLXND1,CDC27,DVL2,DBNDD1,PLXND1,NPTX2,CD99,RBM6,RBM5,RARB,RBM6,CD38,HSPB6,KRT15,NDUFAF7,RBM6,TMEM176A,RBM6,PHTF2,PHTF2,,AGK,TFPI,M6PR,,CYP51A1,CD8B,CDC27,CD38,RBM5,GCFC2
AP2B1,KDM1A,RBM5,DVL2,AK2,RBM5,,SLC25A13,CFLAR,RBM5,FKBP4,,CFLAR,,DBNDD1,MYLK,FKBP4,KDM1A,DVL2,CDC27,MIP,FKBP4,M6PR,KRT71,NDUFAB1,RBM5,ARHGAP36,MAD1L1,,KDM7A,RBM5,AGK,RBM6,HCCS,BAIAP2L1,CFLAR,AK2,POMC,MAD1L1,DVL2,PLXND1,TYR,PDK4,FKBP4,DVL2,KRT77,RBM5,HSPB6,M6PR,DVL2,FARP2,FARP2,,GGCT,NDUFAF7,TFPI,,LAP3,THEMIS,DVL2,RBM6,FKBP4,KDM7A
LUC7L,RBM6,PLXND1,LIG3,FKBP4,RBM6,,DVL2,RBM5,FKBP4,RBM6,,TFPI,,CFLAR,SLC44A1,KDM1A,RBM6,LIG3,DVL2,CRYGC,RBM6,CFLAR,CD109,PDK4,NDUFAB1,HTR7,LASP1,,FARP2,AK2,ARSD,PDK4,DVL2,AGK,RBM5,KDM1A,QPCT,TMEM176A,SPPL2B,FKBP4,CLUL1,DVL2,PDK4,ARSD,ERV3-1,KDM1A,NDUFAB1,CFLAR,REX1BD,SCIN,LUC7L,,ARSD,RBM5,RBM5,,CD99,SATB1,LIG3,DVL2,RBM6,FARP2
ZNF207,HSPB6,FKBP4,SPPL2B,PDK4,NDUFAB1,,DHX33,KDM1A,RBM6,NDUFAB1,,RBM5,,RBM5,CA12,RBM6,PDK4,SPPL2B,RPAP3,CRYBA2,NDUFAB1,TFPI,TCHH,DVL2,PDK4,SST,TMEM176A,,GTF2IRD1,KDM1A,CCDC124,CDC27,DHX33,GGCT,AK2,RBM6,CNR1,M6PR,ITGA3,RBM6,CHRNA3,GCFC2,SLC25A13,LUC7L,,RBM6,CDC27,RBM5,KDM7A,LUC7L,MPND,,CCDC124,AK2,FKBP4,,M6PR,H1-10,SPPL2B,LIG3,PDK4,ARSD
WIZ,NDUFAB1,RBM6,ATOSB,DVL2,PDK4,,SPPL2B,RBM6,CAMKK1,CDC27,,PLXND1,,AK2,PPP1R12B,HSPB6,DVL2,GCFC2,CREBBP,CRYGA,PDK4,RBM5,KRT82,SLC25A5,SLC25A13,AGRP,M6PR,,VPS41,RBM6,CD79B,DVL2,CREBBP,PAF1,FKBP4,PDK4,NEUROD4,ICA1,LAMP2,NDUFAB1,IMPG2,KDM7A,DVL2,TSR3,,RECQL,DVL2,AK2,ARSD,NFIX,NFIX,,CD79B,FKBP4,RBM6,,ICA1,UHRF1,CREBBP,ZNF195,DVL2,LUC7L
YAF2,PDK4,PDK4,MPO,LIG3,CDC27,,CACNG3,RECQL,NDUFAB1,DVL2,,AK2,,FKBP4,RFX3,NDUFAB1,LIG3,LAMP2,GCFC2,BFSP2,DVL2,AK2,DAPL1,ARSD,DVL2,CARTPT,ALS2,,ARSD,CAMKK1,LUC7L,DHX33,GCFC2,NFIX,RBM6,CDC27,CHST8,TFPI,BAIAP2L1,PDK4,RPGRIP1,AGK,ITGA3,JARID2,,VPS50,DHX33,FKBP4,LUC7L,ZNF207,ZNF207,,SYPL1,RBM6,NDUFAB1,,ALS2,,TMEM98,ITGAL,LIG3,TSR3
