adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
SCYL3,CYP51A1,SCYL3,SCYL3,SCYL3,CD99,DPM1,SCYL3,DPM1,GCLC,DPM1,TSPAN6,ITGAL,SCYL3,DPM1,CD99,SCYL3,TGFBI,C1orf112,SCYL3,TCHH,GCLC,DPM1,NPVF,SCYL3,SCGB2A2,DPM1,TSPAN6,DPM1,SEMA3F,SCYL3,DPM1,TSPAN6,LASP1,MYO15A,TSPAN6,GCLC,GCLC,SPATA7,SCYL3,AOC1,SCYL3,ELOVL5,CFH,CFH,GCLC,GCLC,SCYL3,SCYL3,DPM1,C1orf112,C1orf112,TSPAN6,KIF22,LASP1,DPM1,SEMA3F,SCYL3
NIPAL3,SNX11,C1orf112,C1orf112,GCLC,LASP1,C1orf112,C1orf112,SCYL3,ENPP4,GCLC,SEMA3F,MGST1,C1orf112,SCYL3,KLHL13,GCLC,,SEMA3F,CD99,KRT84,SNX11,SCYL3,DDX25,GCLC,,SCYL3,GCLC,SCYL3,CD99,ENPP4,SCYL3,C1orf112,DBNDD1,TRHR,GCLC,SEMA3F,KRIT1,ANO2,GCLC,CYP26B1,GCLC,AWAT2,GCLC,GCLC,ANKIB1,NIPAL3,C1orf112,NFYA,SCYL3,AOC1,GCLC,SCYL3,SLC46A2,SNX11,SCYL3,CYP26B1,GCLC
ENPP4,ICA1,GCLC,BAD,ANKIB1,SNX11,GCLC,GCLC,C1orf112,SEMA3F,NIPAL3,KRIT1,MRC2,LAP3,C1orf112,CYP26B1,ENPP4,,CD99,AOC1,GSDMA,CASP10,GCLC,KISS1R,SEMA3F,,GCLC,NFYA,C1orf112,LASP1,SEMA3F,ENPP4,GCLC,FKBP4,MIA,ENPP4,ANKIB1,SNX11,PRKCZ,SEMA3F,DBNDD1,NIPAL3,AWAT1,BAD,LAP3,KLHL13,ENPP4,GCLC,ENPP4,GCLC,ICA1,AOC1,C1orf112,PSD4,ALS2,C1orf112,SARM1,SEMA3F
BAD,DBNDD1,NIPAL3,LAP3,LAP3,KLHL13,NFYA,NFYA,ANKIB1,ANKIB1,KRIT1,LASP1,VCAN,CD99,GCLC,ALS2,SEMA3F,,SNX11,ICA1,,SARM1,NFYA,MC3R,LAP3,,LAS1L,ANKIB1,FGR,CYP26B1,ANKIB1,LAP3,LAP3,CAMKK1,,SEMA3F,TMEM176A,KLHL13,SLC24A1,ANKIB1,RBM6,ENPP4,ERV3-1,LAP3,CD99,CYP26B1,HECW1,NFYA,ANKIB1,ANKIB1,SARM1,KLHL13,CFH,LIMD2,CASP10,FGR,CAMKK1,LAP3
LAP3,PLXND1,ENPP4,AOC1,CD99,ICA1,LASP1,LAS1L,HS3ST1,BAD,BAD,KLHL13,ICAM1,SNX11,ANKIB1,CASP10,LAP3,,TMEM176A,CASP10,,HCCS,ANKIB1,FEZF1,LASP1,,SEMA3F,BAD,ENPP4,ICA1,BAD,CD99,AOC1,VPS50,,LAP3,ICA1,CYP26B1,MYO3A,MAD1L1,CAMKK1,SNX11,,AOC1,AOC1,ICA1,TMEM176A,ENPP4,HECW1,BAD,CAMKK1,CYP26B1,FUCA2,CD3D,SARM1,ENPP4,ARHGAP33,ICA1
CD99,SLC22A16,SEMA3F,HECW1,MAD1L1,CASP10,SNX11,ENPP4,MAD1L1,LAP3,AOC1,CYP26B1,CPVL,DBNDD1,BAD,SARM1,SNX11,,KLHL13,CAMKK1,,UPF1,LASP1,ADCYAP1,CYP26B1,,LAP3,LAP3,BAD,CASP10,LAP3,LASP1,HECW1,SLC25A13,,CD99,DBNDD1,ICA1,PLCB4,LASP1,RECQL,TMEM176A,,HECW1,HECW1,TFPI,DBNDD1,MAD1L1,MAD1L1,CD99,RECQL,ICA1,NFYA,CCR8,CAMKK1,BAD,SLC25A13,TFPI
MAD1L1,CALCR,KRIT1,TMEM176A,SNX11,SARM1,CYP26B1,CD99,LASP1,AOC1,MAD1L1,ICA1,SFRP4,CASP10,LAP3,PLXND1,ICA1,,CASP10,RECQL,,MCUB,CYP26B1,CNGA3,ICA1,,HECW1,CD99,LAP3,HCCS,AOC1,ALS2,LASP1,ST7,,AOC1,CASP10,TFPI,RS1,TMEM176A,ARHGAP33,KLHL13,,MAD1L1,MAD1L1,KDM1A,ALS2,SNX11,SNX11,HECW1,ARHGAP33,PLXND1,NIPAL3,,SLC22A16,CD99,ST7,NDUFAF7
NDUFAF7,DHX33,BAD,CYP26B1,KLHL13,CAMKK1,CASP10,LASP1,SNX11,MAD1L1,LASP1,TFPI,ACTA2,TFPI,TMEM176A,SLC25A13,ALS2,,TFPI,HCCS,,DHX33,ALS2,SCG2,DBNDD1,,MAD1L1,SNX11,AOC1,CIAPIN1,ICA1,CASP10,TMEM176A,MCUB,,CYP26B1,VPS50,SARM1,RP1,CYP26B1,SLC22A16,DBNDD1,,LASP1,LASP1,CAMKK1,CASP10,KLHL13,CFLAR,MAD1L1,ST7,KDM1A,ENPP4,,SLC25A13,AOC1,MCUB,CAMKK1
AK2,CIAPIN1,AOC1,PLXND1,CYP26B1,VPS50,TFPI,TMEM176A,TMEM176A,SNX11,SNX11,SARM1,SCGB2A2,CAMKK1,ALS2,HCCS,NDUFAF7,,SARM1,PRSS22,,COPZ2,CASP10,LUZP2,CASP10,,LASP1,ALS2,HECW1,ATOSB,SARM1,CFLAR,KLHL13,SPPL2B,,ICA1,SLC22A16,CAMKK1,CABP5,ICA1,HCCS,ALS2,,SNX11,KLHL13,RECQL,TFPI,DBNDD1,AK2,SNX11,PRSS22,CAMKK1,LAP3,,HCCS,HECW1,ACSM3,RECQL
KDM1A,MSL3,HECW1,CAMKK1,ICA1,ARHGAP33,NDUFAF7,CYP26B1,ICA1,TMEM176A,KLHL13,PLXND1,CAP2,ARHGAP33,CASP10,ACSM3,SARM1,,ARHGAP33,REXO5,,MSL3,TFPI,,CFLAR,,KLHL13,PLXND1,SNX11,PRKAR2B,KDM1A,TFPI,ICA1,COPZ2,,ALS2,SLC25A13,RECQL,GRK7,DBNDD1,SLC25A5,CAMKK1,,DBNDD1,CASP10,ARHGAP33,PLXND1,ALS2,RBM6,TMEM176A,ACSM3,RECQL,MAD1L1,,SLC25A5,SNX11,SPPL2B,ARHGAP33
