adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
DPM1,C1orf112,TSPAN6,DPM1,DPM1,DPM1,CHI3L2,DPM1,DPM1,TSPAN6,DPM1,TTR,TSPAN6,SLC6A4,SCYL3,MRC2,DPM1,DPM1,TSPAN6,DPM1,CRYBB3,DPM1,TSPAN6,CASP14,SCYL3,DPM1,PTPRN,TSPAN6,LTF,TSPAN6,DPM1,DPM1,DPM1,TSPAN6,DPM1,TSPAN6,TSPAN6,GAL,DPM1,TSPAN6,TSPAN6,CROCC,TSPAN6,DPM1,C1orf112,PLCH2,DPM1,TSPAN6,TSPAN6,SCYL3,DPM1,DPM1,DPM1,TSPAN6,TSPAN6,DPM1,SH2D2A,TSPAN6,DPM1,DPM1,DPM1
C1orf112,GCLC,DPM1,FGR,SCYL3,C1orf112,COL9A1,NIPAL3,GCLC,DPM1,C1orf112,DNAH10,DPM1,DBH,GCLC,DCN,GCLC,NFYA,DPM1,C1orf112,GJA8,SCYL3,C1orf112,TCHH,C1orf112,C1orf112,GAL,DPM1,SCGB2A2,DPM1,SCYL3,FGR,SCYL3,DPM1,C1orf112,SCYL3,DPM1,PTN,SCYL3,DPM1,SCYL3,PRKCZ,DPM1,C1orf112,NFYA,EN1,SCYL3,DPM1,SCYL3,C1orf112,NFYA,SCYL3,C1orf112,SCYL3,SCYL3,SCYL3,RAD51,DPM1,SCYL3,C1orf112,C1orf112
GCLC,NFYA,NFYA,GCLC,C1orf112,GCLC,COL2A1,LAS1L,NFYA,SCYL3,NFYA,,SCYL3,PRPH,NFYA,VCAN,NFYA,LAS1L,SCYL3,NFYA,BFSP1,NFYA,GCLC,KRT75,NFYA,NIPAL3,OXT,SCYL3,XDH,C1orf112,C1orf112,GCLC,C1orf112,C1orf112,NFYA,C1orf112,SCYL3,GNRHR,C1orf112,SCYL3,NFYA,SLC24A1,C1orf112,GCLC,ANKIB1,,C1orf112,SCYL3,NFYA,NFYA,NIPAL3,C1orf112,FGR,GCLC,NFYA,C1orf112,KIF22,SCYL3,C1orf112,NFYA,NFYA
LAS1L,SEMA3F,LAS1L,NFYA,NFYA,NFYA,,ENPP4,NIPAL3,C1orf112,ANKIB1,,C1orf112,,CFTR,MYLK,NIPAL3,ENPP4,C1orf112,NIPAL3,COL2A1,ENPP4,NFYA,GJB4,NIPAL3,LAS1L,GRIN2D,C1orf112,CEL,GCLC,FGR,NIPAL3,CFH,GCLC,NIPAL3,GCLC,C1orf112,PEX5L,GCLC,C1orf112,ENPP4,CHRNA3,NFYA,NFYA,HECW1,,NFYA,C1orf112,SEMA3F,ANKIB1,LAS1L,NIPAL3,NFYA,NFYA,BAD,CFH,FYB1,C1orf112,FGR,NIPAL3,NIPAL3
ANKIB1,ANKIB1,ENPP4,NIPAL3,NIPAL3,SEMA3F,,SEMA3F,LAS1L,GCLC,BAD,,GCLC,,ANKIB1,SLC44A1,ENPP4,BAD,GCLC,ANKIB1,LUM,ANKIB1,CFTR,KRT35,ANKIB1,ENPP4,PPP1R17,GCLC,,NFYA,GCLC,LAS1L,GCLC,NFYA,ANKIB1,NFYA,GCLC,PRLHR,NFYA,NFYA,SEMA3F,MYO3A,CFTR,NIPAL3,MAD1L1,,NIPAL3,NFYA,CFTR,MAD1L1,BAD,LAS1L,NIPAL3,NIPAL3,LAP3,FUCA2,SLAMF1,GCLC,GCLC,ENPP4,ANKIB1
CFLAR,BAD,ANKIB1,LAS1L,LAS1L,ANKIB1,,ANKIB1,ENPP4,NFYA,CD99,,NFYA,,BAD,PPP1R12B,ANKIB1,HECW1,NFYA,BAD,LGSN,BAD,BAD,KRTAP3-3,BAD,SEMA3F,DDX25,NFYA,,NIPAL3,NFYA,ANKIB1,NFYA,NIPAL3,HECW1,ENPP4,NFYA,CRHR1,NIPAL3,LAS1L,ANKIB1,RS1,BAD,ANKIB1,CFLAR,,LAS1L,ENPP4,BAD,M6PR,LAP3,BAD,LAS1L,SEMA3F,HECW1,GCLC,SLC46A2,NFYA,NFYA,BAD,BAD
RECQL,LAP3,BAD,ENPP4,ENPP4,LAP3,,BAD,ANKIB1,NIPAL3,HECW1,,NIPAL3,,LAP3,ICAM1,BAD,MAD1L1,ENPP4,MAD1L1,CRYAA,LAP3,LAP3,KRTAP3-2,HECW1,ANKIB1,KISS1R,ANKIB1,,LAS1L,NIPAL3,LAP3,ANKIB1,HECW1,MAD1L1,SEMA3F,LAS1L,ATP8A2,ANKIB1,ENPP4,BAD,ITGB8,LAP3,BAD,TFPI,,ENPP4,SEMA3F,LAP3,RECQL,HECW1,CD99,ENPP4,BAD,SNX11,NFYA,PSD4,ENPP4,NIPAL3,LAP3,CD99
ARHGAP33,CD99,LAP3,ANKIB1,SEMA3F,HECW1,,HECW1,BAD,LAS1L,MAD1L1,,LAS1L,,AOC1,DPYSL2,LAP3,LASP1,ANKIB1,M6PR,,HECW1,HECW1,RPTN,MAD1L1,BAD,HCRTR1,BAD,,ENPP4,SEMA3F,CD99,LAP3,MAD1L1,SNX11,ANKIB1,ANKIB1,TSHB,BAD,BAD,LAP3,RCVRN,CD99,LAP3,NDUFAF7,,SEMA3F,ANKIB1,AOC1,HSPB6,SNX11,HECW1,ANKIB1,HECW1,TMEM176A,NIPAL3,ADORA2A,ANKIB1,SEMA3F,CD99,HECW1
CDC27,HECW1,AOC1,MAD1L1,ANKIB1,MAD1L1,,MAD1L1,CD99,ENPP4,TMEM176A,,ENPP4,,HECW1,CRISP3,HECW1,SNX11,BAD,TFPI,,M6PR,LASP1,,TMEM176A,HS3ST1,MC3R,LAP3,,ANKIB1,ANKIB1,HECW1,HECW1,SNX11,TMEM176A,BAD,BAD,NPHP1,CD99,LAP3,CD99,COL9A1,HECW1,CD99,SARM1,,ANKIB1,BAD,HECW1,ARHGAP33,TMEM176A,SNX11,LASP1,LASP1,DBNDD1,LAS1L,E2F8,BAD,ANKIB1,HECW1,MAD1L1
LIG3,MAD1L1,HECW1,LASP1,BAD,SNX11,,TMEM176A,HS3ST1,SEMA3F,M6PR,,SEMA3F,,LASP1,IL2RB,MAD1L1,M6PR,LAP3,PLXND1,,DBNDD1,KLHL13,,KLHL13,HECW1,PCSK2,CD99,,BAD,BAD,MAD1L1,MAD1L1,DBNDD1,M6PR,LAP3,LAP3,IGSF1,AOC1,AOC1,AOC1,GUCA1B,SNX11,HECW1,PLXND1,,LAP3,LAP3,LASP1,CDC27,M6PR,TMEM176A,CYP26B1,SNX11,ALS2,SEMA3F,MTRFR,LAP3,BAD,LASP1,M6PR
