adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
TSPAN6,TSPAN6,TSPAN6,TSPAN6,TSPAN6,SCYL3,TSPAN6,TSPAN6,TSPAN6,SCYL3,TSPAN6,SLC6A4,C1orf112,ITGAL,TSPAN6,TSPAN6,FGR,FGR,COL9A2,FGR,FGR,KRT33A,TSPAN6,TSPAN6,CALCR,TSPAN6,BTN1A1,TSPAN6,TSPAN6,TSPAN6,FGR,FGR,TSPAN6,FGR,FGR,POU1F1,FGR,FGR,C1orf112,PAX6,FGR,FGR,TSPAN6,ELOVL5,TSPAN6,FGR,C1orf112,TSPAN6,TSPAN6,TSPAN6,TSPAN6,FGR,FGR,SLC6A3,SCYL3,PSMB11,FGR,TSPAN6,FGR,FGR
FGR,SCYL3,SCYL3,CFH,FGR,FGR,SCYL3,DPM1,C1orf112,FGR,C1orf112,DBH,FGR,MGST1,SCYL3,SCYL3,CFH,CFH,COL9A3,CFH,CFH,TYR,FGR,SCYL3,PTPRN,FGR,PLIN2,SCYL3,SCYL3,CFH,CFH,CFH,FGR,CFH,CFH,GAL,CFH,CFH,FGR,TFAP2B,CFH,CFH,FGR,CASP14,C1orf112,CFH,FGR,FGR,C1orf112,DPM1,SCYL3,CFH,CFH,,FGR,,CFH,CFH,CFH,CFH
CFH,FGR,C1orf112,FUCA2,CFH,CFH,FGR,SCYL3,FGR,CFH,FGR,PRPH,CFH,LRRC23,C1orf112,C1orf112,FUCA2,FUCA2,CRYBB3,FUCA2,FUCA2,KRT31,CFH,FGR,GAL,CFH,XDH,C1orf112,FGR,FUCA2,FUCA2,FUCA2,CFH,FUCA2,FUCA2,POMC,FUCA2,FUCA2,CFH,SPATA7,FUCA2,FUCA2,CFH,ELOVL3,FGR,FUCA2,CFH,CFH,FGR,FGR,C1orf112,FUCA2,FUCA2,,CFH,,FUCA2,FUCA2,FUCA2,FUCA2
FUCA2,CFH,FGR,SEMA3F,FUCA2,FUCA2,CFH,FGR,CFH,FUCA2,CFH,TPH2,FUCA2,MRC2,FGR,FGR,SEMA3F,CFTR,CRYBB1,CFTR,SEMA3F,CASP14,FUCA2,CFH,AVP,FUCA2,CEL,FGR,CFH,GCLC,CFTR,CFTR,FUCA2,CFTR,SEMA3F,FST,SEMA3F,CFTR,FUCA2,ANO2,CYP51A1,SEMA3F,FUCA2,AWAT2,CFH,CFTR,FUCA2,FUCA2,CFH,CFH,FGR,CFTR,SEMA3F,,FUCA2,,SEMA3F,GCLC,CFTR,ENPP4
NFYA,FUCA2,CFH,CFTR,GCLC,CFTR,FUCA2,CFH,FUCA2,SEMA3F,FUCA2,,CFTR,DCN,CFH,CFH,CFTR,CYP51A1,PRX,CYP51A1,CYP51A1,KRT34,SEMA3F,FUCA2,OXT,SEMA3F,CSN3,CFH,FUCA2,SEMA3F,CYP51A1,CYP51A1,GCLC,CYP51A1,CFTR,CGA,CFTR,CYP51A1,CFTR,GUCA1A,KRIT1,CFTR,SEMA3F,PLCH2,FUCA2,CYP51A1,CFTR,SEMA3F,FUCA2,FUCA2,CFH,CYP51A1,CFTR,,NFYA,,CFTR,ENPP4,CYP51A1,CFTR
CFTR,CFTR,FUCA2,CYP51A1,NFYA,CYP51A1,SEMA3F,FUCA2,GCLC,CFTR,SEMA3F,,CYP51A1,FHL1,FUCA2,FUCA2,CYP51A1,KRIT1,CRYBA1,KRIT1,KRIT1,KRT33B,CFTR,SEMA3F,GRIN2D,CFTR,,FUCA2,ENPP4,CFTR,KRIT1,KRIT1,ENPP4,KRIT1,CYP51A1,PRL,CYP51A1,KRIT1,CYP51A1,PRKCZ,HS3ST1,CYP51A1,CFTR,DCD,GCLC,KRIT1,CYP51A1,CFTR,GCLC,NFYA,FUCA2,KRIT1,CYP51A1,,NIPAL3,,CYP51A1,SEMA3F,KRIT1,CYP51A1
CYP51A1,KRIT1,SEMA3F,KRIT1,NIPAL3,KRIT1,CFTR,GCLC,NFYA,CYP51A1,CFTR,,KRIT1,CLXN,GCLC,GCLC,KRIT1,HS3ST1,CRYGD,CD99,HS3ST1,DSC1,CYP51A1,CFTR,NPVF,ANKIB1,,NFYA,SEMA3F,CYP51A1,CD99,CD99,SEMA3F,CD99,KRIT1,GATA2,KRIT1,HS3ST1,KRIT1,PALS1,AOC1,KRIT1,CYP51A1,EN1,NFYA,LAP3,KRIT1,CYP51A1,NFYA,SEMA3F,GCLC,CD99,KRIT1,,LAS1L,,KRIT1,CFTR,HS3ST1,KRIT1
KRIT1,HS3ST1,CFTR,HS3ST1,ENPP4,CD99,CYP51A1,NFYA,LAS1L,KRIT1,CYP51A1,,CD99,VCAN,ENPP4,NIPAL3,HS3ST1,AOC1,TGFBI,HS3ST1,CD38,KRT85,KRIT1,CYP51A1,PPP1R17,CYP51A1,,SEMA3F,CFTR,KRIT1,HS3ST1,HS3ST1,CFTR,HS3ST1,CD99,CSH2,LAP3,LASP1,CD99,SLC24A1,ALS2,HS3ST1,KRIT1,GSDMA,ENPP4,CD99,CD99,KRIT1,ENPP4,CFTR,ENPP4,HS3ST1,CD99,,SEMA3F,,HS3ST1,CYP51A1,AOC1,HS3ST1
HS3ST1,AOC1,CYP51A1,SNX11,CFTR,HS3ST1,KRIT1,LAS1L,ENPP4,LAP3,KRIT1,,HS3ST1,MYLK,SEMA3F,ENPP4,AOC1,LASP1,GJA8,AOC1,HSPB6,KRT71,LAP3,KRIT1,DDX25,KRIT1,,CFTR,CYP51A1,HS3ST1,AOC1,LASP1,CYP51A1,AOC1,HS3ST1,ARHGAP11A-SCG5,CD99,SARM1,HS3ST1,RARB,CASP10,LASP1,BAD,KRT15,SEMA3F,HS3ST1,HS3ST1,BAD,SEMA3F,CYP51A1,SEMA3F,PLXND1,HS3ST1,,CFTR,,AOC1,KRIT1,CD38,AOC1
AOC1,LASP1,KRIT1,KLHL13,CYP51A1,AOC1,LAP3,SEMA3F,SEMA3F,HS3ST1,LAP3,,TFPI,SLC44A1,CFTR,SEMA3F,LASP1,TMEM176A,GJA3,LASP1,SLC4A1,TCHH,CD99,LAP3,KISS1R,CD99,,CYP51A1,KRIT1,KLHL13,SNX11,TMEM176A,KRIT1,LASP1,AOC1,,HS3ST1,PLXND1,LASP1,TYR,TFPI,ICA1,LAP3,KRT77,CFTR,MAD1L1,LASP1,LAP3,CFTR,KRIT1,CFTR,CD38,SARM1,,CYP51A1,,CYP26B1,CD99,HSPB6,LASP1
